,name,score,biasScore
140,TYACKE,3.793969148977013,5.311556808567818
147,TYRONE,3.2179426952627814,4.505119773367894
61,TREMER,4.068881866087374,4.475770052696111
97,TUNNER,4.033374878478488,4.436712366326337
189,TURMER,4.024189564243709,4.426608520668081
51,TUPPER,3.9876530507387193,4.386418355812592
138,TYSZKO,3.1319587346168474,4.384742228463586
103,TRUSTER,3.9786368714533644,4.376500558598702
77,TRASTER,3.9317324327761627,4.324905676053779
93,TYGRETT,3.6268979048937133,4.316008506823518
175,TRESTER,3.9085571743585747,4.299412891794432
65,TUSSEY,3.9027195715770064,4.292991528734707
62,TURNIER,3.9021606315713315,4.292376694728465
179,TYSZKA,2.9976094615019595,4.196653246102743
148,TRENTER,3.7703222264238443,4.147354449066229
69,TRUNDY,3.747062534778683,4.121768788256551
24,TRANTER,3.7421719686339827,4.116389165497381
193,TROWER,3.731418388206915,4.104560227027607
152,TUCKEY,3.694447255533848,4.063891981087234
70,TANASE,4.04755246583156,4.04755246583156
91,TANSEY,4.019794213589155,4.019794213589155
45,TROUPE,3.6030443465963677,3.9633487812560046
183,TROOPE,3.5831836292672,3.9415019921939205
4,TRAVICK,3.5708684543118236,3.9279552997430063
136,TRAPPE,3.5689082227924516,3.925799045071697
41,TRUPPA,3.5677124473751607,3.924483692112677
6,TREZISE,3.5646110964473214,3.9210722060920538
118,TURNEY,3.5563394539739543,3.91197339937135
126,TUSCAN,3.553945358982583,3.9093398948808415
15,TASSOS,3.9078604909364443,3.9078604909364443
153,TURPEN,3.5495039726368125,3.904454369900494
87,TRUSLER,3.5432829215070636,3.89761121365777
52,TUSKEY,3.532420531848497,3.885662585033347
117,TRUHLAR,3.5014036406566467,3.8515440047223115
157,TASSLER,3.8478617104673134,3.8478617104673134
200,TUCHER,3.4802419119154417,3.8282661031069862
44,TURANO,3.4724944057593103,3.8197438463352418
27,TANSKY,3.814938478601534,3.814938478601534
198,TURVILLE,3.4658816828975434,3.812469851187298
142,TRUCCO,3.4654314155904147,3.8119745571494565
178,TAPPER,3.7882569678308626,3.7882569678308626
199,TANGER,3.78797456179738,3.78797456179738
32,TASSEY,3.7864447282530675,3.7864447282530675
58,TRUNZO,3.43439731452532,3.7778370459778525
90,TANNER,3.7597307144412975,3.7597307144412975
11,TASCHE,3.744036558289143,3.744036558289143
18,TRONCO,3.399066282352721,3.7389729105879934
113,TRAPPS,3.392531439958268,3.731784583954095
34,TRAUGH,3.360180813524498,3.6961988948769484
66,TRAINOR,3.3499567898729694,3.6849524688602666
191,TRAINER,3.328427350084831,3.661270085093314
125,TRENTLY,3.294206396915568,3.623627036607125
80,TAEGER,3.5984987976601075,3.5984987976601075
134,TRAYLOR,3.2666062990437315,3.593266928948105
40,TARRATS,3.5851189745906162,3.5851189745906162
99,TRUBEY,3.2562817299245017,3.5819099029169523
168,TAYNOR,3.5726292145250502,3.5726292145250502
171,TROXLER,3.2464062017408595,3.571046821914946
163,TRAXLER,3.245522738561802,3.5700750124179828
115,TRUPPO,3.239622201069931,3.5635844211769245
84,TRUNKO,3.239083276338497,3.562991603972347
94,TRENDE,3.233687165514635,3.557055882066099
101,TRANBY,3.2327257370536464,3.555998310759011
98,TRELOAR,3.2267131167259455,3.5493844283985405
20,TROUNG,3.2222714431145745,3.544498587426032
38,TRAVLOS,3.220692238493611,3.5427614623429724
29,TRUBEE,3.219911264272198,3.541902390699418
156,TASCON,3.519728395600053,3.519728395600053
165,TRONZO,3.193899775463472,3.5132897530098197
155,TACKES,3.508750534805914,3.508750534805914
42,TURNBO,3.189554113103555,3.508509524413911
137,TRAYLER,3.184143606952391,3.5025579676476304
194,TRESLER,3.183586007641315,3.501944608405447
25,TREADO,3.182420583008097,3.500662641308907
47,TARROW,3.49867942780392,3.49867942780392
174,TRAUBE,3.1793647434522714,3.497301217797499
49,TROPEA,3.171495531729936,3.4886450849029296
46,TRAVISS,3.161478048345202,3.477625853179722
9,TROCHE,3.1589368030367098,3.474830483340381
73,TUROCY,3.1516033052301773,3.4667636357531952
149,TRUEBA,3.1398511786581618,3.453836296523978
102,TAUBER,3.439157632091573,3.439157632091573
176,TUSKAN,3.1209377118817505,3.433031483069926
186,TAUSCH,3.4279114455494115,3.4279114455494115
169,TREPPA,3.1047441099595323,3.4152185209554857
151,TASAKA,3.412710775876183,3.412710775876183
177,TURBEN,3.0921533921963054,3.401368731415936
111,TRUHAN,3.090953369215563,3.4000487061371194
162,TABEEK,3.397225868597033,3.397225868597033
166,TASKEY,3.376499793131894,3.376499793131894
88,TRYTTEN,3.0659690219145697,3.372565924106027
120,TUCSON,3.065675187927903,3.372242706720694
173,TURBAK,3.0493975390349717,3.354337292938469
135,TRENCH,3.04744846685212,3.352193313537332
23,TROUBA,3.034197298679568,3.337617028547525
105,TREIDER,3.0311863378245896,3.334304971607049
13,TAVANA,3.3334327523288767,3.3334327523288767
5,TUNGET,3.5644923041950602,3.3328003044223813
48,TURBES,3.028795646744829,3.331675211419312
10,TREXLER,3.0285090030453876,3.331359903349927
130,TABACK,3.3255267760952263,3.3255267760952263
76,TREVETT,3.5495733180807787,3.3188510524055284
75,TURCOTT,3.5475153353762137,3.31692683857676
54,TAWZER,3.3134849826331036,3.3134849826331036
89,TROBEC,3.008814843175824,3.309696327493407
